lead_id,필드명,값,소스,소스URL,수집일,최종값
A11-003,회사명,네피리티,뉴스,https://v.daum.net/v/20251128091238235,2026-05-21,Y
A11-003,웹사이트,https://www.nepirity.com,웹,https://www.nepirity.com/about/,2026-05-21,Y
A11-003,대표이름,강익선,뉴스,https://v.daum.net/v/20251128091238235,2026-05-21,Y
A11-003,제품설명,AI 에이전트 CS 솔루션·중소쇼핑몰 상담 96% 자동화·RAG+생성AI 기반,aipost,https://www.aipostkorea.com/news/articleView.html?idxno=4999,2026-05-21,Y
A11-003,고객규모,100개 이상 쇼핑몰 적용,뉴스,https://v.daum.net/v/20251128091238235,2026-05-21,Y
A11-003,본사,제주 본사,뉴스,https://www.hankyung.com/article/202511270191O,2026-05-21,Y
A11-004,회사명,사이드톡,웹,https://sidetalk.kr/,2026-05-21,Y
A11-004,웹사이트,https://sidetalk.kr,웹,https://sidetalk.kr/,2026-05-21,Y
A11-004,대표이름,채찬,LinkedIn,https://www.linkedin.com/in/cockssla/,2026-05-21,Y
A11-004,법인명,코스모스팜 소프트웨어,웹,https://sidetalk.kr/,2026-05-21,Y
A11-004,제품설명,맞춤형 AI 챗봇/에이전트 빌더·카카오톡/네이버톡톡/인스타 연동 CS 자동화,웹,https://sidetalk.kr/,2026-05-21,Y
A11-004,LinkedIn_대표,https://www.linkedin.com/in/cockssla/,LinkedIn,,2026-05-21,Y
A11-005,회사명,베이글칩스,aitimes,https://www.aitimes.com/news/articleView.html?idxno=157828,2026-05-21,Y
A11-005,웹사이트,https://www.vagelchips.com,aitimes,https://www.aitimes.com/news/articleView.html?idxno=157828,2026-05-21,Y
A11-005,설립일,2022(추정),platum,https://platum.kr/archives/223908,2026-05-21,Y
A11-005,대표이름,정우철,aitimes,https://www.aitimes.com/news/articleView.html?idxno=157828,2026-05-21,Y
A11-005,대표배경,인하대 전자공학·코오롱정보통신 음성인식·ETRI 사내벤처 코어보이스 창업,뉴스,https://v.daum.net/v/9vY6gob0eP,2026-05-21,Y
A11-005,제품설명,음성 AI 콜봇·STT/TTS·AICC·고객문의 전화 자동응대,aitimes,https://www.aitimes.com/news/articleView.html?idxno=157828,2026-05-21,Y
A11-005,투자단계,시드,wowtale,https://wowtale.net/2024/03/11/73259/,2026-05-21,Y
A11-005,투자사,더인벤션랩,wowtale,https://wowtale.net/2024/03/11/73259/,2026-05-21,Y
A11-005,투자금액,3억,wowtale,https://wowtale.net/2024/03/11/73259/,2026-05-21,Y
A11-005,정부지원,TIPS 선정,platum,https://platum.kr/archives/223908,2026-05-21,Y
A11-005,팀규모,5명,원티드,,2026-05-21,Y
A11-006,회사명,와들,venturesquare,https://www.venturesquare.net/969153,2026-05-21,Y
A11-006,웹사이트,https://www.gentooai.com,웹,https://www.gentooai.com/,2026-05-21,Y
A11-006,설립일,2019-04-17,THE VC,https://thevc.kr/waddle,2026-05-21,Y
A11-006,대표이름,박지혁,venturesquare,https://www.venturesquare.net/969153,2026-05-21,Y
A11-006,대표배경,KAIST 대화형 AI 연구 10년+·포브스 아시아 30 Under 30 AI 부문,venturesquare,https://www.venturesquare.net/969153,2026-05-21,Y
A11-006,제품설명,이커머스 대화형 AI 에이전트(젠투)·구매 전환 챗봇·NHN커머스/Shopify 입점,wowtale,https://wowtale.net/2025/09/20/247347/,2026-05-21,Y
A11-006,투자단계,Pre-A,THE VC,https://thevc.kr/waddle,2026-05-21,Y
A11-006,투자사,카카오벤처스+본엔젤스벤처파트너스,venturesquare,https://www.venturesquare.net/969153,2026-05-21,Y
A11-006,투자금액,20억 (Pre-A 2024.06),venturesquare,https://www.venturesquare.net/969153,2026-05-21,Y
A11-006,팀규모,10명,THE VC,https://thevc.kr/waddle,2026-05-21,Y
A11-006,주요성과,OpenAI 첫 한국 엔터프라이즈 계약·GPT-5 해커톤 1위,venturesquare,https://www.venturesquare.net/999427,2026-05-21,Y
A11-006,LinkedIn_대표,https://kr.linkedin.com/in/jihyukpark/ko,LinkedIn,,2026-05-21,Y
A11-007,회사명,랭코드,THE VC,https://thevc.kr/langcode,2026-05-21,Y
A11-007,웹사이트,https://langcode.io,웹,https://langcode.io/,2026-05-21,Y
A11-007,설립일,2020-07,뉴스,https://plus.hankyung.com/apps/newsinside.view?aid=202312213868d,2026-05-21,Y
A11-007,대표이름,김민준,전자신문,https://www.etnews.com/20241104000207,2026-05-21,Y
A11-007,대표배경,서울대 계산과학+경제학·AI 외국어 학습 스타트업 CTO 출신,뉴스,https://plus.hankyung.com/apps/newsinside.view?aid=202312213868d,2026-05-21,Y
A11-007,제품설명,기업용 대화형 AI 플랫폼 CXP·고객경험/직원경험 AI봇·맞춤 Q&A 자동화,전자신문,https://www.etnews.com/20241104000207,2026-05-21,Y
A11-007,투자단계,Pre-A,THE VC,https://thevc.kr/langcode,2026-05-21,Y
A11-007,투자사,서울대기술지주+스파크랩+인포뱅크+에버그린투자파트너스,THE VC,https://thevc.kr/langcode,2026-05-21,Y
A11-007,투자금액,누적 20.5억,THE VC,https://thevc.kr/langcode,2026-05-21,Y
A11-007,주요고객사,Mercedes-Benz·CHANEL·Microsoft,전자신문,https://www.etnews.com/20241104000207,2026-05-21,Y
A11-007,LinkedIn_대표,https://www.linkedin.com/in/mjkim-langcode/,LinkedIn,,2026-05-21,Y
A11-008,회사명,스텝하우,platum,https://platum.kr/archives/231475,2026-05-21,Y
A11-008,웹사이트,https://stephow.me,platum,https://platum.kr/archives/231475,2026-05-21,Y
A11-008,설립일,2024-01,THE VC,https://thevc.kr/stephow,2026-05-21,Y
A11-008,대표이름,황성욱,tech42,https://www.tech42.co.kr/%EC%9D%B8%ED%84%B0%EB%B7%B0-%ED%99%A9%EC%84%B1%EC%9A%B1-%EC%8A%A4%ED%85%9D%ED%95%98%EC%9A%B0/,2026-05-21,Y
A11-008,대표배경,중앙대 경영학과·VC 투자심사역·멘탈케어 스타트업 창업 (3.5만 사용자),tech42,https://www.tech42.co.kr/%EC%9D%B8%ED%84%B0%EB%B7%B0-%ED%99%A9%EC%84%B1%EC%9A%B1-%EC%8A%A4%ED%85%9D%ED%95%98%EC%9A%B0/,2026-05-21,Y
A11-008,제품설명,AI KMS/매뉴얼 자동화 SaaS·클릭+텍스트 인식으로 1분 내 매뉴얼 자동생성,platum,https://platum.kr/archives/231475,2026-05-21,Y
A11-008,투자단계,시드,platum,https://platum.kr/archives/231475,2026-05-21,Y
A11-008,투자사,매쉬업벤처스+더벤처스+앤틀러코리아,platum,https://platum.kr/archives/231475,2026-05-21,Y
A11-008,투자금액,6억+,platum,https://platum.kr/archives/231475,2026-05-21,Y
A11-008,주요고객사,CJ올리브영·동서식품,tech42,https://www.tech42.co.kr/%EC%9D%B8%ED%84%B0%EB%B7%B0-%ED%99%A9%EC%84%B1%EC%9A%B1-%EC%8A%A4%ED%85%9D%ED%95%98%EC%9A%B0/,2026-05-21,Y
A11-008,LinkedIn_대표,https://www.linkedin.com/in/seongwook-hwang/,LinkedIn,,2026-05-21,Y
A11-009,회사명,직스에이아이,wowtale,https://wowtale.net/2026/05/12/258434/,2026-05-21,Y
A11-009,웹사이트,미확인,,미확인,2026-05-21,
A11-009,대표이름,Itay Gavish (이타이 가비시),venturesquare,https://www.venturesquare.net/1081888,2026-05-21,Y
A11-009,대표배경,이스라엘 공동창업자·AI 에이전트 협업 인프라 전문,venturesquare,https://www.venturesquare.net/1081888,2026-05-21,Y
A11-009,제품설명,다중 AI 에이전트 협업 플랫폼·비즈니스 워크플로우 자동화·에이전트 마켓플레이스,venturesquare,https://www.venturesquare.net/1081888,2026-05-21,Y
A11-009,투자단계,시드,wowtale,https://wowtale.net/2026/05/12/258434/,2026-05-21,Y
A11-009,투자사,경기창조경제혁신센터,wowtale,https://wowtale.net/2026/05/12/258434/,2026-05-21,Y
A11-009,투자금액,2억,wowtale,https://wowtale.net/2026/05/12/258434/,2026-05-21,Y
A11-009,정부지원,TIPS 선정,wowtale,https://wowtale.net/2026/05/12/258434/,2026-05-21,Y
