lead_id,필드명,값,소스,소스URL,수집일,최종값
A02-008,설립일,2023-07,platum,https://platum.kr/archives/235767,2026-05-21,Y
A02-008,대표이름,윤대건,platum,https://platum.kr/archives/235767,2026-05-21,Y
A02-008,제품설명,"AI 기반 반품 물류 솔루션 '리터니즈'. 비전AI 자동 검품·반품 프로세스 자동화. 43만장 학습 데이터",platum,https://platum.kr/archives/235767,2026-05-21,Y
A02-008,투자단계,시드→프리시리즈A,thebell,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512101340023360103045,2026-05-21,Y
A02-008,투자금액,"시드 10억(2024) + 프리A 30억(2025). 누적 40억",thebell,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202512101340023360103045,2026-05-21,Y
A02-008,투자사,"한투AC, 에트리홀딩스, 블루포인트파트너스, MYSC",유니콘팩토리,https://www.unicornfactory.co.kr/article/2024100816433498882,2026-05-21,Y
A02-008,정부지원,TIPS 5억,wowtale,https://wowtale.net/2024/07/29/226253/,2026-05-21,Y
A02-009,회사명,스킨서울,wowtale,https://wowtale.net/2025/01/20/236191/,2026-05-21,Y
A02-009,설립일,2024(추정),wowtale,https://wowtale.net/2025/01/20/236191/,2026-05-21,Y
A02-009,대표이름,박근영,wowtale,https://wowtale.net/2025/01/20/236191/,2026-05-21,Y
A02-009,대표배경,"아마존 싱가포르·유니레버 아시아 글로벌 사업개발·뷰티 마케팅 출신. 비개발자",wowtale,https://wowtale.net/2025/01/20/236191/,2026-05-21,Y
A02-009,CTO,"박민철(아마존 AI/ML·카카오 '선물하기' 개발자 출신)",platum,https://platum.kr/archives/250749,2026-05-21,Y
A02-009,제품설명,"AI 에이전트 기반 K뷰티 크로스보더 커머스. 재고·유통·판매·마케팅 AI 자동화",wowtale,https://wowtale.net/2025/01/20/236191/,2026-05-21,Y
A02-009,투자단계,프리시드,wowtale,https://wowtale.net/2025/01/20/236191/,2026-05-21,Y
A02-009,투자사,"500글로벌, 블루프린트벤처스(싱가포르)",wowtale,https://wowtale.net/2025/01/20/236191/,2026-05-21,Y
A02-010,회사명,스튜디오랩,platum,https://platum.kr/archives/275953,2026-05-21,Y
A02-010,웹사이트,https://studiolab.ai,공식사이트,https://studiolab.ai/,2026-05-21,Y
A02-010,설립일,2021(삼성전자 C랩 스핀오프),brunch,https://brunch.co.kr/@@5lk/403,2026-05-21,Y
A02-010,대표이름,강성훈,brunch,https://brunch.co.kr/@@5lk/403,2026-05-21,Y
A02-010,대표배경,"삼성전자 C랩 사내벤처 스핀오프. 패션AI·머신비전 개발자",brunch,https://brunch.co.kr/@@5lk/403,2026-05-21,Y
A02-010,팀규모,25명,nextround,https://www.nextround.kr/startup/detail/3509,2026-05-21,Y
A02-010,제품설명,"멀티모달 AI 이커머스 상세페이지 자동 생성 SaaS '젠시(GENCY)'. 제품사진 1장으로 15초 내 상세페이지 완성",platum,https://platum.kr/archives/275953,2026-05-21,Y
A02-010,고객사,"LF, W컨셉, GS리테일, 신세계 등 30개 대형 브랜드 + 소상공인 6000개",platum,https://platum.kr/archives/275953,2026-05-21,Y
A02-010,투자단계,프리시리즈A,nextround,https://www.nextround.kr/startup/detail/3509,2026-05-21,Y
A02-010,투자사,"SBI인베스트먼트, 네이버D2SF",nextround,https://www.nextround.kr/startup/detail/3509,2026-05-21,Y
A02-010,투자금액,33억,nextround,https://www.nextround.kr/startup/detail/3509,2026-05-21,Y
A02-001,LinkedIn_대표,https://www.linkedin.com/in/aaron-kim-kosmos/,LinkedIn,https://kr.linkedin.com/posts/aaron-kim-kosmos_%EC%99%9C-%EB%82%9C-gd-%EC%A2%8B%EC%9D%80%EB%8D%B0-activity-7341418181539831810-Fr7y,2026-05-21,Y
A02-002,LinkedIn_대표,미확인,,미확인,2026-05-21,
A02-003,LinkedIn_대표,https://www.linkedin.com/in/dosunyun/,LinkedIn,https://www.linkedin.com/in/dosunyun/,2026-05-21,Y
A02-004,LinkedIn_대표,미확인,,미확인,2026-05-21,
A02-004,Rocketpunch_대표,https://www.rocketpunch.com/@fff83e79a2c248eb,Rocketpunch,https://www.rocketpunch.com/@fff83e79a2c248eb,2026-05-21,Y
A02-005,LinkedIn_대표,https://www.linkedin.com/in/hongjun-an-4b7a15300/,LinkedIn,https://www.linkedin.com/in/hongjun-an-4b7a15300/,2026-05-21,Y
A02-006,LinkedIn_대표,https://www.linkedin.com/in/%ED%98%84%EC%9D%BC-%EC%9C%A4-043726204,LinkedIn,https://kr.linkedin.com/in/%ED%98%84%EC%9D%BC-%EC%9C%A4-043726204,2026-05-21,Y
A02-007,LinkedIn_대표,https://www.linkedin.com/in/eungjin-gim-768a24156/,LinkedIn,https://kr.linkedin.com/posts/eungjin-gim-768a24156_%EC%BD%94%EB%94%A9%ED%95%98%EA%B8%B0-activity-7315571439435165696-1CsU,2026-05-21,Y
A02-008,LinkedIn_대표,https://www.linkedin.com/in/daegun-yoon-a1a70023,LinkedIn,https://kr.linkedin.com/in/daegun-yoon-a1a70023,2026-05-21,Y
A02-009,LinkedIn_대표,https://sg.linkedin.com/in/kuenyoung,LinkedIn,https://sg.linkedin.com/in/kuenyoung,2026-05-21,Y
A02-010,LinkedIn_대표,https://www.linkedin.com/in/sunghoon-kang-80732693/,LinkedIn,https://www.linkedin.com/in/sunghoon-kang-80732693/,2026-05-21,Y
